,Symbol,Name,Quantity,Avg. Price,Cost Basis,Unrealized Gain ($),Unrealized Gain (%),Value,Sector,Average_Return(%),Beta,Standard_Deviation(%),Total_Risk
0,COST,Costco Wholesale Corp.,0.77,529.48,407.5,250.48,61.47,657.98,Consumer Defensive,0.11,0.73,1.52,2.25
1,HDV,iShares Core High Dividend ETF,53.55,97.62,"5,227.94",864.77,16.54,"6,092.71",Large Value,0.04,0.78,1.22,2.0
2,MSFT,Microsoft,1.6,382.22,612.26,38.12,6.23,650.38,Technology,0.11,1.19,1.91,3.1
3,SOXX,iShares PHLX Semiconductor ETF,5.22,175.96,919.41,187.13,20.35,"1,106.54",Technology,0.12,1.46,2.29,3.75
4,TMF,Direxion Daily 20+ Year Treasury Bull 3X Shares,14.89,51.31,764.01,64.33,8.42,828.34,Trading--Leveraged Debt,-0.07,-0.4,3.34,2.94
5,VDC,Vanguard Consumer Staples ETF,19.13,187.85,"3,593",406.57,11.32,"3,999.57",Consumer Defensive,0.04,0.64,1.07,1.71
6,VOO,Vanguard S&P 500 ETF,17.94,413.51,"7,419.13","1,369.11",18.45,"8,788.24",Large Blend,0.06,1.01,1.34,2.35
7,WM,"Waste Management, Inc.",1.89,164.3,310.72,77.45,24.93,388.17,Industrials,0.06,0.64,1.42,2.06
8,XLE,Energy Select Sector SPDR Fund,21.7,82.26,"1,785.22",155.14,8.69,"1,940.36",Equity Energy,0.08,1.06,2.3,3.36
9,XLK,Technology Select Sector SPDR Fund,12.83,188.46,"2,418.19",220.31,9.11,"2,638.5",Technology,0.09,1.23,1.74,2.97
10,XOM,Exxon Mobil Corp.,4.28,90.71,388.3,120.48,31.03,508.78,Energy,0.08,0.87,2.16,3.03
